ZIPファイル名,出力年月日・時刻,地番区域,地番,地番区域（筆界未定地構成地番）,地番（筆界未定地構成地番）
01664-4600-1.zip,202402131011,川上郡標茶町字奥熊牛原野基線,1-1,,
01664-4600-1.zip,202402131011,川上郡標茶町字奥熊牛原野基線,1-5,,
01664-4600-1.zip,202402131011,川上郡標茶町字奥熊牛原野基線,2-2,,
01664-4600-1.zip,202402131011,川上郡標茶町字奥熊牛原野基線,2-4,,
01664-4600-1.zip,202402131011,川上郡標茶町字奥熊牛原野基線,2-8,,
01664-4600-1.zip,202402131011,川上郡標茶町字奥熊牛原野基線,2-15,,
01664-4600-1.zip,202402131011,川上郡標茶町字奥熊牛原野基線,2-16,,
01664-4600-1.zip,202402131011,川上郡標茶町字奥熊牛原野基線,2-18,,
01664-4600-1.zip,202402131011,川上郡標茶町字奥熊牛原野基線,2-21,,
01664-4600-1.zip,202402131011,川上郡標茶町字奥熊牛原野基線,2-24,,
01664-4600-1.zip,202402131011,川上郡標茶町字奥熊牛原野基線,2-26,,
01664-4600-1.zip,202402131011,川上郡標茶町字奥熊牛原野基線,2-27,,
01664-4600-1.zip,202402131011,川上郡標茶町字奥熊牛原野基線,2-28,,
01664-4600-1.zip,202402131011,川上郡標茶町字奥熊牛原野基線,2-29,,
01664-4600-1.zip,202402131011,川上郡標茶町字奥熊牛原野基線,2-32,,
01664-4600-1.zip,202402131011,川上郡標茶町字奥熊牛原野基線,3-1,,
01664-4600-1.zip,202402131011,川上郡標茶町字奥熊牛原野基線,3-2,,
01664-4600-1.zip,202402131011,川上郡標茶町字奥熊牛原野基線,3-6,,
01664-4600-1.zip,202402131011,川上郡標茶町字奥熊牛原野基線,3-10,,
01664-4600-1.zip,202402131011,川上郡標茶町字奥熊牛原野基線,3-13,,
01664-4600-1.zip,202402131011,川上郡標茶町字奥熊牛原野基線,3-14,,
01664-4600-1.zip,202402131011,川上郡標茶町字奥熊牛原野基線,3-15,,
01664-4600-1.zip,202402131011,川上郡標茶町字奥熊牛原野基線,3-18,,
01664-4600-1.zip,202402131011,川上郡標茶町字奥熊牛原野基線,3-19,,
01664-4600-1.zip,202402131011,川上郡標茶町字奥熊牛原野基線,5-1,,
01664-4600-1.zip,202402131011,川上郡標茶町字奥熊牛原野基線,5-2,,
01664-4600-1.zip,202402131011,川上郡標茶町字奥熊牛原野基線,5-5,,
01664-4600-1.zip,202402131011,川上郡標茶町字奥熊牛原野基線,5-7,,
01664-4600-1.zip,202402131011,川上郡標茶町字奥熊牛原野基線,5-8,,
01664-4600-1.zip,202402131011,川上郡標茶町字奥熊牛原野基線,5-9,,
01664-4600-1.zip,202402131011,川上郡標茶町字奥熊牛原野基線,5-10,,
01664-4600-1.zip,202402131011,川上郡標茶町字奥熊牛原野基線,5-11,,
01664-4600-1.zip,202402131011,川上郡標茶町字奥熊牛原野基線,5-12,,
01664-4600-1.zip,202402131011,川上郡標茶町字奥熊牛原野基線,5-13,,
01664-4600-1.zip,202402131011,川上郡標茶町字奥熊牛原野基線,5-14,,
01664-4600-1.zip,202402131011,川上郡標茶町字奥熊牛原野基線,5-15,,
01664-4600-1.zip,202402131011,川上郡標茶町字奥熊牛原野基線,5-16,,
01664-4600-1.zip,202402131011,川上郡標茶町字奥熊牛原野基線,5-17,,
01664-4600-1.zip,202402131011,川上郡標茶町字奥熊牛原野基線,5-18,,
01664-4600-1.zip,202402131011,川上郡標茶町字奥熊牛原野基線,5-23,,
01664-4600-1.zip,202402131011,川上郡標茶町字奥熊牛原野基線,5-24,,
01664-4600-1.zip,202402131011,川上郡標茶町字奥熊牛原野基線,5-25,,
01664-4600-1.zip,202402131011,川上郡標茶町字奥熊牛原野基線,5-26,,
01664-4600-1.zip,202402131011,川上郡標茶町字奥熊牛原野基線,7-1,,
01664-4600-1.zip,202402131011,川上郡標茶町字奥熊牛原野基線,7-3,,
01664-4600-1.zip,202402131011,川上郡標茶町字奥熊牛原野基線,7-5,,
01664-4600-1.zip,202402131011,川上郡標茶町字奥熊牛原野基線,7-6,,
01664-4600-1.zip,202402131011,川上郡標茶町字奥熊牛原野基線,8-1,,
01664-4600-1.zip,202402131011,川上郡標茶町字奥熊牛原野基線,8-2,,
01664-4600-1.zip,202402131011,川上郡標茶町字奥熊牛原野基線,8-3,,
01664-4600-1.zip,202402131011,川上郡標茶町字奥熊牛原野基線,8-4,,
01664-4600-1.zip,202402131011,川上郡標茶町字奥熊牛原野基線,9-1,,
01664-4600-1.zip,202402131011,川上郡標茶町字奥熊牛原野基線,9-2,,
01664-4600-1.zip,202402131011,川上郡標茶町字奥熊牛原野基線,9-4,,
01664-4600-1.zip,202402131011,川上郡標茶町字奥熊牛原野基線,9-5,,
01664-4600-1.zip,202402131011,川上郡標茶町字奥熊牛原野基線,9-7,,
01664-4600-1.zip,202402131011,川上郡標茶町字奥熊牛原野基線,9-9,,
01664-4600-1.zip,202402131011,川上郡標茶町字奥熊牛原野基線,9-10,,
01664-4600-1.zip,202402131011,川上郡標茶町字奥熊牛原野基線,9-11,,
01664-4600-1.zip,202402131011,川上郡標茶町字奥熊牛原野基線,9-12,,
01664-4600-1.zip,202402131011,川上郡標茶町字奥熊牛原野基線,9-13,,
01664-4600-1.zip,202402131011,川上郡標茶町字奥熊牛原野基線,9-14,,
01664-4600-1.zip,202402131011,川上郡標茶町字奥熊牛原野基線,9-18,,
01664-4600-1.zip,202402131011,川上郡標茶町字奥熊牛原野基線,9-19,,
01664-4600-1.zip,202402131011,川上郡標茶町字奥熊牛原野基線,9-21,,
01664-4600-1.zip,202402131011,川上郡標茶町字奥熊牛原野基線,9-22,,
01664-4600-1.zip,202402131011,川上郡標茶町字奥熊牛原野基線,10-1,,
01664-4600-1.zip,202402131011,川上郡標茶町字奥熊牛原野基線,10-2,,
01664-4600-1.zip,202402131011,川上郡標茶町字奥熊牛原野基線,10-4,,
01664-4600-1.zip,202402131011,川上郡標茶町字奥熊牛原野基線,11-2,,
01664-4600-1.zip,202402131011,川上郡標茶町字奥熊牛原野基線,11-3,,
01664-4600-1.zip,202402131011,川上郡標茶町字奥熊牛原野基線,11-4,,
01664-4600-1.zip,202402131011,川上郡標茶町字奥熊牛原野基線,11-6,,
01664-4600-1.zip,202402131011,川上郡標茶町字奥熊牛原野基線,11-7,,
01664-4600-1.zip,202402131011,川上郡標茶町字奥熊牛原野基線,11-8,,
01664-4600-1.zip,202402131011,川上郡標茶町字奥熊牛原野基線,12-2,,
01664-4600-1.zip,202402131011,川上郡標茶町字奥熊牛原野基線,12-3,,
01664-4600-1.zip,202402131011,川上郡標茶町字奥熊牛原野基線,12-4,,
01664-4600-1.zip,202402131011,川上郡標茶町字奥熊牛原野基線,12-5,,
01664-4600-1.zip,202402131011,川上郡標茶町字奥熊牛原野基線,12-6,,
01664-4600-1.zip,202402131011,川上郡標茶町字奥熊牛原野基線,12-7,,
01664-4600-1.zip,202402131011,川上郡標茶町字奥熊牛原野基線,12-8,,
01664-4600-1.zip,202402131011,川上郡標茶町字奥熊牛原野基線,12-9,,
01664-4600-1.zip,202402131011,川上郡標茶町字奥熊牛原野基線,12-10,,
01664-4600-1.zip,202402131011,川上郡標茶町字奥熊牛原野基線,12-11,,
01664-4600-1.zip,202402131011,川上郡標茶町字奥熊牛原野基線,12-12,,
01664-4600-1.zip,202402131011,川上郡標茶町字奥熊牛原野基線,12-13,,
01664-4600-1.zip,202402131011,川上郡標茶町字奥熊牛原野基線,13-1,,
01664-4600-1.zip,202402131011,川上郡標茶町字奥熊牛原野基線,13-2,,
01664-4600-1.zip,202402131011,川上郡標茶町字奥熊牛原野基線,13-3,,
01664-4600-1.zip,202402131011,川上郡標茶町字奥熊牛原野基線,14-1,,
01664-4600-1.zip,202402131011,川上郡標茶町字奥熊牛原野基線,14-2,,
01664-4600-1.zip,202402131011,川上郡標茶町字奥熊牛原野基線,15-1,,
01664-4600-1.zip,202402131011,川上郡標茶町字奥熊牛原野基線,15-2,,
01664-4600-1.zip,202402131011,川上郡標茶町字奥熊牛原野基線,15-3,,
01664-4600-1.zip,202402131011,川上郡標茶町字奥熊牛原野基線,15-4,,
01664-4600-1.zip,202402131011,川上郡標茶町字奥熊牛原野基線,15-5,,
01664-4600-1.zip,202402131011,川上郡標茶町字奥熊牛原野基線,15-6,,
01664-4600-1.zip,202402131011,川上郡標茶町字奥熊牛原野基線,15-7,,
01664-4600-1.zip,202402131011,川上郡標茶町字奥熊牛原野基線,16-1,,
01664-4600-1.zip,202402131011,川上郡標茶町字奥熊牛原野基線,16-2,,
01664-4600-1.zip,202402131011,川上郡標茶町字奥熊牛原野基線,16-3,,
01664-4600-1.zip,202402131011,川上郡標茶町字奥熊牛原野基線,17-1,,
01664-4600-1.zip,202402131011,川上郡標茶町字奥熊牛原野基線,17-2,,
